,Silence,DFAexp,sub_id,ch
130,1,0.7367765371943868,40.0,4.0
131,1,0.7554516555127516,40.0,5.0
132,1,0.727690693870952,45.0,0.0
133,1,0.7247966292217758,45.0,1.0
134,1,0.7603330737752958,45.0,2.0
135,1,0.6948723862763838,45.0,3.0
136,1,0.6903759528004,45.0,4.0
137,1,0.7578432147745584,45.0,5.0
138,1,0.7485629663816242,45.0,6.0
139,1,0.7183905355032323,45.0,7.0
140,1,0.7850753017244685,45.0,8.0
141,1,0.9141297661196752,47.0,0.0
142,1,0.9398572896668766,47.0,1.0
143,1,0.9170842634774393,47.0,2.0
144,1,0.885759337347132,47.0,3.0
145,1,0.9050246534364508,47.0,4.0
146,1,0.835030455515443,47.0,5.0
147,1,0.8381254922595796,47.0,6.0
148,1,0.8405030147558592,47.0,7.0
149,1,0.8627562919271747,47.0,8.0
150,1,0.9241444077908026,49.0,0.0
151,1,0.8535691739805873,49.0,1.0
152,1,0.9483343401953825,49.0,2.0
153,1,0.9317894113506353,49.0,3.0
154,1,0.9281538422676439,49.0,4.0
155,1,0.923537485960271,49.0,5.0
156,1,0.9112704635389427,49.0,6.0
157,1,0.8457178410160804,49.0,7.0
158,1,0.8961419694837919,49.0,8.0
159,1,0.863542856386867,49.0,9.0
160,1,0.8771852988274178,52.0,0.0
161,1,0.8762977228789078,52.0,1.0
162,1,0.8929419359670334,52.0,2.0
163,1,0.894708130932557,52.0,3.0
164,1,0.8943737142808458,52.0,4.0
165,1,0.8694366606822206,52.0,5.0
166,1,0.8802757077754232,52.0,6.0
167,1,0.8719964373444544,52.0,7.0
168,1,0.8911170292028044,52.0,8.0
169,1,0.8779964553308417,52.0,9.0
170,1,0.7263881440026081,56.0,0.0
171,1,0.7315490195663472,56.0,1.0
172,1,0.8205166370148483,56.0,2.0
173,1,0.8320569963541908,56.0,3.0
174,1,0.7294828162673246,56.0,4.0
175,1,0.7541687728134054,56.0,5.0
176,1,0.7729438546618779,56.0,6.0
177,1,0.7523872098437108,56.0,7.0
178,1,0.7981562061304243,56.0,8.0
179,1,0.7589128786509376,56.0,9.0
180,1,0.8637817345151676,58.0,0.0
181,1,0.8150223085337966,58.0,1.0
182,1,0.8554293347798575,58.0,2.0
183,1,0.8619312753210473,58.0,3.0
184,1,0.8617390121455543,58.0,4.0
185,1,0.8168328077089823,58.0,5.0
186,1,0.7869619384001862,58.0,6.0
187,1,0.8235556134510307,58.0,7.0
188,1,0.8144823507537997,58.0,8.0
189,1,0.844318116733364,58.0,9.0
190,1,0.8117364477653566,62.0,0.0
191,1,0.8582545521952041,62.0,1.0
192,1,0.8285709711671227,62.0,2.0
193,1,0.8149679322246105,62.0,3.0
194,1,0.8089310266543617,62.0,4.0
195,1,0.7664897822694249,62.0,5.0
196,1,0.8291344540024417,62.0,6.0
197,1,0.8826138931141824,66.0,0.0
198,1,0.8797488758002192,66.0,1.0
199,1,0.8833137368161643,66.0,2.0
200,1,0.8985445157678593,66.0,3.0
201,1,0.8979061490801077,66.0,4.0
202,1,0.8746496532296919,66.0,5.0
203,1,0.8793437593607325,66.0,6.0
204,1,0.9030535430328148,66.0,7.0
205,1,0.9129339323366386,66.0,8.0
206,1,0.8997197420258307,66.0,9.0
207,1,0.8379342025019182,67.0,0.0
208,1,0.910028658707455,67.0,1.0
209,1,0.9043929024001683,67.0,2.0
210,1,0.8677694989772221,67.0,3.0
211,1,0.8027771325185091,67.0,4.0
212,1,0.8481100915410908,67.0,5.0
213,1,0.8884682890331026,67.0,6.0
214,1,0.8863284503131643,67.0,7.0
215,1,0.8636561406656158,67.0,8.0
216,1,0.8101945812267233,67.0,9.0
217,1,0.9278427414029427,68.0,0.0
218,1,0.946828699372846,68.0,1.0
219,1,0.9203645409658551,68.0,2.0
